toi,tid,tfopwg_disp,sectors,pl_orbper,pl_trandep,pl_rade
1301.02,356867115,PC,,,2143.3712267,4.258255
1302.01,441797803,PC,,5.6666168,9780.0,14.8589
1303.01,185405474,FP,,1.56029,1690.0,18.4825
1304.01,186000935,FP,,8.8735214,1949.0,6.0401
1305.01,232679662,FP,,7.8513774,21571.0,
1306.01,233735068,FP,,7.6869063,4500.0,23.7824
1307.01,236815160,APC,,2.534612,5185.2815163,
1308.01,277014266,FP,,1.3797091,1320.0,22.2329
1309.01,287190564,FP,,1.49861,2188.61,
131.01,235037761,APC,,6.2407826,6114.0,16.0959
1310.01,294179389,FP,,2.6796,7590.0,11.8862
1311.01,378159598,APC,,6.1406417,9437.1831553,26.5174686
1312.01,405904232,FP,,11.0765063,4400.0,12.8076
1313.01,11111899,FP,,0.6193401,1853.0,8.84136
1314.01,136848581,FP,,2.6400663,1328.0,18.2671
1315.01,137284119,FP,,2.5778717,1010.0,18.687
1316.01,15565627,FP,,3.80509,1280.0,8.57193
1317.01,165523947,FP,,2.99041,1290.0,24.2511
1318.01,167092385,PC,,4.9865029,1341.0,
1319.01,167098530,FP,,0.890967,1100.0,2.89678
132.01,89020549,CP,,2.1096805,1309.7297126,3.6396725
1320.01,167403519,PC,,3.9729429,4558.0,
1321.01,195199644,FP,,1.19888,1169.03,20.5525
1386.01,343019899,CP,,25.8386422,1806.0,4.31235
1387.01,343442463,FP,,0.78381,426.099,3.89595
1388.01,346338552,KP,,4.4652986,14440.0,14.5331
1389.01,353038705,PC,,3.062624,580.0,
139.01,62483237,CP,,11.0708575,1149.7328034,2.3337648
1390.01,365389353,FP,,2.6380089,1683.0,12.8098
1391.01,389182138,FP,,2.7260173,1165.0,4.98036
1392.01,416987878,FP,,2.86876,1030.0,8.48351
1393.01,430528566,FP,,0.5590256,660.0,4.22851
1394.01,431156009,FP,,2.958148,980.0,4.47387
1395.01,468472950,FP,,0.98736,370.0,3.41784
1396.01,468845640,FP,,3.99307,3892.81,6.35126
1397.01,64553698,FP,,8.6795072,10160.0,24.132
1398.01,66445643,APC,,6.5560604,861.0,13.1465
1399.01,66783360,FP,,1.3812787,1573.0,5.91488
140.01,140068425,APC,,2.2813432,1126.6619488,12.7387194
1400.01,258801269,FP,,5.48923,910.0,11.8401
1401.01,259126549,FP,,7.3845072,25160.0,23.6091
1402.01,259129875,FP,,0.43889,650.0,6.69456
1403.01,328750515,FP,,2.3359622,3066.2492749,18.3852989
1404.01,352239069,PC,,6.8674054,779.0,2.4024
1404.02,352239069,PC,,14.431887,1687.0,3.73311
1405.01,387834907,FP,,12.64001,9458.38,
1406.01,231736113,CP,,10.5739824,5460.0,9.43898
1407.01,69747919,KP,,9.9783319,179.2248456,2.0515332
1408.01,364186197,CP,,4.4247042,2447.0,8.3621
1408.02,364186197,KP,,2.2222094,87.0,1.39527
1409.01,115771549,APC,,4.7182888,3000.0,15.2763
141.01,403224672,CP,,1.0082361,228.0,1.7202
1410.01,199444169,CP,,1.2168732,1240.0,3.43106
1411.01,116483514,CP,,1.4520486,393.0,1.404
1412.01,116483734,APC,,4.731977,3470.0,6.97384
1413.01,119700084,PC,,6.1182129,1805.1895773,6.1579891
1414.01,125442121,APC,,3.0197807,12016.7483851,17.9176077
1415.01,148782377,PC,,14.4204896,1061.4991496,4.7909139
1416.01,158025009,CP,,1.0697621,376.0,1.60037
1351.01,1718201850,APC,,5.9294089,14536.0,
1352.01,336740528,APC,,5.2958813,5100.0,13.3622
1353.01,279177746,FP,,4.4350025,2085.0,9.91393
1354.01,365683032,FP,,1.4287976,1768.0,9.00484
1355.01,372264750,PC,,2.1702725,5156.7735359,15.2590586
1356.01,277566483,PC,,24.2544697,8802.0,
1357.01,357972447,FP,,0.33759,529.0,2.96097
1358.01,275501623,FP,,1.67346,390.0,5.10182
1359.01,416624606,FP,,2.5152549,1870.0,13.4294
136.01,410153553,CP,,0.4629304,4507.3268775,1.3560231
1360.01,330468175,FP,,0.70902,570.0,5.18865
1361.01,277447970,PC,,2.237462,4281.0,10.2256
1362.01,395142888,PC,,1.9173816,664.0,17.5081
1363.01,230017325,FP,,9.6926509,1393.0,13.5133
1364.01,26880783,PC,,1.7753644,878.0,9.49405
1365.01,367099243,FP,,1.8286961,7283.0,21.4433
1366.01,120602501,FP,,14.8626982,8264.2193919,26.5090911
1367.01,129539786,FP,,2.0881134,730.0,5.41738
1368.01,136971594,FP,,1.25562,290.0,2.95064
1369.01,155005217,FP,,7.6047417,1200.0,6.14418
