TIC,m_TIC,RAJ2000,DEJ2000,pmRA,pmDE,Tmag,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,TESSebs,Simbad
307040154,1,14.3355124583,52.0787979342,16.002,-1.023,9.588,1792.595666,0.4233982,3.3649953,0.0013495276,0.328,,,0.9859,,,0.01,,,,,,,TESSebs,Simbad
53713272,1,18.1204913049,60.2230985616,49.238,-45.201,12.924,1792.135406,0.002418444,3.9897025,8.8956394e-05,0.341,0.056,0.019,1.005,,,,0.08489,0.025,0.004859,,,,TESSebs,Simbad
21175869,1,36.5608189457,28.739530754,-12.6,-6.1,9.908,1804.435354,0.009589442,2.7393993,0.0016575946,0.875,0.134,0.007,0.9972,,,,0.0801,0.012,0.001218,,,,TESSebs,Simbad
65200579,1,53.3004282805,44.1568936863,26.622,-30.722,9.046,1792.782921,0.005043998,3.9293052,0.0015488941,0.543,0.1,0.003,0.9995,,,,0.1301,0.003,0.9969,,,,TESSebs,Simbad
59025325,1,296.8481763707,33.7743174039,,,13.134,1683.719381,0.007319305,3.8268311,0.0010298775,0.496,0.063,0.055,1.001,,,,0.09495,0.069,0.0004664,0.145,0.056,0.4237,TESSebs,Simbad
456260074,1,101.4923284275,66.8907328805,-26.86,-20.602,9.045,1858.971875,0.5236591,16.6532886,0.83121336,0.285,,,0.05523,,,0.257,0.03198,0.002,0.06717,,,,TESSebs,Simbad
99135781,1,122.00870152,46.1870521243,-11.185,-23.37,9.513,1842.370036,0.04129065,3.2343265,0.00032023056,0.777,0.22,0.011,1.003,,,,0.3612,0.042,0.9883,,,,TESSebs,Simbad
220569051,1,46.367679444,-60.3627486079,3.8,0.149,11.188,1356.715699,0.0001641964,2.778273,1.6641395e-05,0.416,0.052,0.067,1.0,0.061,0.008,0.5,0.07582,0.074,5.248e-05,0.078,0.011,0.4999,TESSebs,Simbad
231275247,1,41.8354388202,-51.4528880815,44.136,48.33,9.106,1358.120589,0.04399865,4.0079017,1.4373941e-06,0.445,0.022,0.008,0.01082,0.023,0.007,0.997,0.08795,0.024,0.9997,,,,TESSebs,Simbad
270622440,1,358.8195397024,-31.8842709487,18.111,1.829,6.906,1354.362822,0.0009707643,2.44506,4.0901669e-06,0.505,0.087,0.002,1.0,0.079,0.001,0.473,0.1289,0.002,0.0002123,0.129,0.001,0.4735,TESSebs,Simbad
441464221,1,353.2452368349,-19.7111174374,5.28,-68.88,9.108,1361.632992,0.0001256859,11.475145,0.00088956054,0.134,0.017,0.172,0.9999,0.018,0.022,0.5,0.02627,0.18,0.9999,0.027,0.027,0.5,TESSebs,Simbad
355601117,1,357.6685387349,-57.5059701685,2.075,-1.284,11.209,1328.627614,0.0002450837,4.1519578,5.3742158e-05,0.489,0.059,0.044,0.9999,,,,0.0961,0.054,0.9999,,,,TESSebs,Simbad
270411008,1,349.4030181938,-29.1721462926,47.058,7.557,9.736,1374.223054,8.060776e-05,17.3506499,0.00014295326,0.066,0.013,0.358,1.011,,,,0.0179,0.426,0.0101,,,,TESSebs,Simbad
231010756,1,25.7960181064,-58.0101141532,-147.787,-186.696,8.32,1354.577005,5.647694e-05,3.7845188,4.2980653e-05,0.161,0.023,0.119,1.0,0.022,0.085,0.461,0.03464,0.132,1.79e-06,0.034,0.091,0.4607,TESSebs,Simbad
67559369,1,15.9324359879,-30.398811537,36.39,-36.59,8.903,1399.873119,0.01451195,14.7103164,0.0002929639,0.05,0.012,0.406,1.001,0.027,0.22,0.38,0.01727,0.445,6.792e-05,0.038,0.256,0.3789,TESSebs,Simbad
97467902,1,23.5765287783,-27.363126078,17.962,18.994,7.632,1388.338559,1.31699e-05,2.0450862,0.00010007655,0.568,0.086,0.096,0.00314,,,,0.2049,0.178,0.0001129,0.159,0.029,0.4987,TESSebs,Simbad
29847695,1,23.58084,-8.457809,-15.11,-71.04,7.594,1387.976691,0.006422751,4.9983914,4.2473725e-05,0.283,0.038,0.15,1.001,0.033,0.024,0.43,0.05702,0.156,0.9999,0.049,0.028,0.4288,TESSebs,Simbad
322493523,1,6.8220551282,-23.6117775393,-13.178,-6.723,11.766,1354.480208,0.0004120719,1.5323477,6.332839e-07,0.469,0.071,0.171,1.0,0.07,0.064,0.5,0.09918,0.19,0.9998,0.1,0.072,0.4995,TESSebs,Simbad
219222201,1,62.2780454304,-48.4760424893,7.557,27.333,8.278,1387.912647,0.0002811419,2.3832589,9.6574917e-06,0.531,0.079,0.193,0.9999,0.079,0.177,0.5,0.1181,0.22,1.0,0.118,0.202,0.5,TESSebs,Simbad
115693377,1,6.8188478788,-41.5715791335,-21.688,-7.005,11.37,1361.572409,0.0003114766,4.9279264,0.00014498457,0.238,0.018,0.03,1.0,,,,0.02917,0.042,8.87e-05,,,,TESSebs,Simbad
63785934,1,12.0716555722,-28.0887296603,61.839,14.794,9.584,1386.874991,0.001407364,1.4701245,2.7786852e-06,0.554,0.095,0.113,1.001,0.082,0.013,0.495,0.146,0.132,0.9999,0.157,0.026,0.5,TESSebs,Simbad
55369219,1,77.5084853926,-61.5997162652,5.276,7.126,9.257,1387.796218,0.03616689,1.9795959,3.0896196e-05,0.471,0.075,0.071,0.9932,,,,0.07631,0.067,0.01143,,,,TESSebs,Simbad
52079677,1,17.3039581779,-67.9189579391,7.323,-1.059,11.903,1329.216928,0.0007337422,9.030013,1.332604e-05,0.134,0.017,0.032,0.9997,0.017,0.01,0.51,0.02447,0.036,0.9998,0.024,0.012,0.5101,TESSebs,Simbad
54018297,1,23.8996325029,-11.9418511853,-24.302,-26.587,8.859,1386.049206,0.0002445079,1.9397502,3.8311216e-06,0.56,0.123,0.556,1.0,0.113,0.073,0.499,0.1924,0.63,1.0,0.168,0.118,0.5,TESSebs,Simbad
98658304,1,8.9350692861,-22.7431412253,89.884,20.718,11.04,1388.622423,0.05276328,5.9307456,1.1549812e-05,0.171,,,,,,,0.01816,0.147,0.9969,,,,TESSebs,Simbad
306773020,1,121.0187415194,-67.6451617596,-4.184,13.276,11.295,1355.46254,0.002129621,1.3773899,3.7040933e-06,0.515,0.092,0.029,0.9996,,,,0.1378,0.05,0.001461,,,,TESSebs,Simbad
198011271,1,60.6545946688,-55.0409665478,22.362,23.976,11.033,1385.798661,0.001282536,1.9335604,3.2823511e-05,0.429,0.058,0.373,1.0,0.057,0.254,0.5,0.08216,0.418,0.0009258,0.088,0.283,0.5009,TESSebs,Simbad
279949020,1,40.3920238808,-59.9853508863,11.749,10.936,8.804,1354.602452,0.02797979,13.0987154,0.00032051794,0.1,0.015,0.122,1.002,,,,0.02246,0.167,0.9998,,,,TESSebs,Simbad
114471605,1,11.4003623148,-20.0466202222,67.855,21.792,14.984,1388.304658,0.001541401,6.3869005,0.0013913308,0.143,0.017,0.269,1.0,,,,0.02561,0.313,0.0008969,,,,TESSebs,Simbad
31850842,1,52.1535454193,-66.9201664168,3.573,12.005,10.158,1326.448059,0.002575576,2.3198144,7.0267554e-06,0.32,0.044,0.277,0.9989,0.043,0.074,0.499,0.06497,0.305,1.0,0.063,0.086,0.5,TESSebs,Simbad
300972613,1,10.771111,-47.304695,78.455,-27.26,11.06,1354.707788,5.386784e-05,0.7761167,3.257782e-06,0.479,0.072,0.119,0.9997,0.074,0.09,0.5,0.106,0.131,0.9998,0.105,0.099,0.4999,TESSebs,Simbad
9054370,1,356.1619018627,-8.8487918314,49.704,-0.8,7.618,1357.135305,0.005068749,3.1899595,1.8576749e-05,0.29,0.031,0.037,1.002,0.03,0.033,0.501,0.04395,0.043,1.0,0.045,0.039,0.5,TESSebs,Simbad
316769815,1,354.6108427405,-31.7795212434,6.4,-13.4,8.113,1354.924478,0.0001099196,1.712204,6.6813001e-07,0.557,0.091,0.019,1.0,,,,0.1576,0.027,0.0003371,0.183,0.004,0.5001,TESSebs,Simbad
69888530,1,338.464299995,-23.8646784172,-18.232,-5.606,10.068,1360.060546,0.0006935862,10.3516947,0.00056075882,0.347,0.045,0.259,1.0,0.043,0.177,0.516,0.06484,0.282,1.0,0.063,0.196,0.516,TESSebs,Simbad
220523550,1,42.5625347249,-65.2069874871,7.649,5.839,11.112,1337.754394,0.000652944,13.4964231,0.0002113386,0.166,0.017,0.025,0.9999,,,,0.02974,0.052,7.482e-05,,,,TESSebs,Simbad
219238496,1,64.4965499776,-48.3958785266,3.425,12.922,8.749,1391.279863,0.0005242617,6.5054324,3.330087e-06,0.238,0.034,0.315,1.0,0.033,0.086,0.525,0.04898,0.337,1.0,0.048,0.094,0.5253,TESSebs,Simbad
396721448,1,65.6400902841,-55.9313771717,-46.049,8.579,10.764,1438.043639,0.0559827,29.4183827,0.11346378,0.317,,,,,,,,,,,,,TESSebs,Simbad
3816260,1,10.1350666586,-6.4808796872,10.325,-12.86,10.095,1390.527157,0.0007244124,13.1278709,0.00020840174,0.122,0.017,0.224,1.0,0.02,0.18,0.79,0.02512,0.239,1.0,0.029,0.192,0.7895,TESSebs,Simbad
308225941,1,40.3734116539,-37.7902621564,23.903,11.762,8.852,1386.387245,0.0001955841,1.5194621,8.4741044e-06,0.558,0.057,0.031,1.0,,,,0.09046,0.042,0.0001616,0.059,0.007,0.4999,TESSebs,Simbad
231061733,1,31.2505250738,-57.3734137375,8.291,18.74,8.813,1355.599672,0.0002065158,2.3982071,5.5419656e-05,0.709,0.249,0.006,0.5023,,,,0.1521,0.022,5.21e-05,0.0,0.009,0.4879,TESSebs,Simbad
